"timestamp", "logmsg", "LogglyNotifications.type", "logtypes", "syslog.appName", "syslog.facility", "syslog.host", "syslog.priority", "syslog.severity", "tags"
"2021-07-05 21:38:41.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:38:13.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:37:45.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:37:16.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:36:48.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:36:19.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:35:51.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:35:23.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:34:54.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:34:26.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:33:58.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:33:29.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:33:01.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
"2021-07-05 21:32:31.000 +01:00","b' ADSL_Status:[Mode=17A States=SHOWTIME UpSpeed=3694000 DownSpeed=30000000 SNR=19 Atten=13 ]'","","[b'syslog']","b'HBPC-Hebden-Data'","b'local use 5'","b'vigor.router'","b'174'","b'Informational'","[b'hbph', b'clients', b'dringtech']"
